cmip,model,x,y
3,CCCMA-CGCM3.1,-1.554887269028649,3.4
3,GISS-E-R,0.22222749618579396,2.7
3,IAP-FGOALS1.0-g,0.25569079505000847,2.3
3,INM-CM3.0,0.12112561451093384,2.1
3,IPSL-CM4,-0.5388845567045264,4.4
3,MIROC3.2-MEDRES,-0.10125105950161073,4.0
3,MPI-ECHAM5,-0.6060484827936938,3.4
3,MRI-CGCM2.3.2a,0.30814036277335166,3.2
3,NCAR-CCSM3.0,-0.23652822512290195,2.7
3,NCAR-PCM1,0.17998304797423348,2.1
3,UKMO-HadCM3,-0.8747041871503645,3.3
5,CanESM2,-1.0954195626377354,3.69
5,CNRM-CM5,-0.36848279369384596,3.25
5,CSIRO-Mk3.6.0,-0.7714663502288523,4.08
5,GFDL-CM3,-2.085078826919817,3.97
5,GISS-E2-H,-0.1798067469062552,2.30
5,GISS-E2-R,-0.0025224614341414764,2.11
5,FGOALS-g2,-0.4482251229021865,3.45
5,INM-CM4,0.7388913375148336,2.08
5,IPSL-CM5A-LR,-1.2610747584336326,4.13
5,MIROC-ESM,-0.14420749279538914,4.67
5,MIROC5,0.2198542125784031,2.72
5,MPI-ESM-LR,-0.6594473639599931,3.63
5,MRI-CGCM3,0.40212239362603874,2.60
5,HadGEM2-ES,-1.3654992371588406,4.59
5,NCAR-CAM5,-1.0944702491947786,4.1
5,NorESM1-M,0.31526021359552514,2.8
