cmip,model,x,y
3,IAP-FGOALS1.0-g,0.37775176103549546,2.3
3,CCCMA-CGCM3.1,0.4491415565133786,3.4
3,CCCMA-CGCM3.1-T63,0.44453048864238387,3.4
3,GFDL-CM2.1,0.44861831476915226,3.4
3,GFDL-CM2.0,0.45499532352691097,2.9
3,GISS-E-H,0.33249135015991577,2.7
3,GISS-E-R,0.3545983138534793,2.7
3,INM-CM3.0,0.26048020511076375,2.1
3,IPSL-CM4,0.4392653685911062,4.4
3,MIROC3.2-HIRES,0.5461047922403249,4.3
3,MIROC3.2-MEDRES,0.6107578502612938,4.0
3,UKMO-HadGEM1,0.3890341611453762,4.4
3,UKMO-HadCM3,0.41385544138711383,3.3
3,MPI-ECHAM5,0.4905103569162748,3.4
3,MRI-CGCM2.3.2a,0.40859032133583617,3.2
3,NCAR-PCM1,0.3515242686061494,2.1
3,NCAR-CCSM3.0,0.38612362894311714,2.7
5,FGOALS-g2,0.5134675884442061,3.45
5,FGOALS-s2,0.5914306083339329,4.16
5,BCC-CSM1.1,0.4197092084006462,2.88
5,CanESM2,0.312313840398187,3.68
5,CNRM-CM5,0.3294827101306142,3.25
5,CSIRO-Mk3.6.0,0.35518696081573387,3.99
5,BNU-ESM,0.41267814746260456,4.11
5,GFDL-CM3,0.3557429051689744,3.96
5,GFDL-ESM2G,0.4511037130542275,2.38
5,GFDL-ESM2M,0.45643423832353347,2.41
5,GISS-E2-R,0.2816060905339028,2.11
5,GISS-E2-H,0.2974014506877359,2.30
5,INM-CM4,0.32827271359709076,2.07
5,IPSL-CM5B-LR,0.42059217884402816,2.59
5,IPSL-CM5A-LR,0.45198668349760945,4.10
5,MIROC-ESM,0.5636333906719078,4.65
5,MIROC5,0.44920696173140695,2.71
5,HadGEM2-ES,0.368987461819704,4.55
5,ACCESS1.3,0.3587842478072901,3.45
5,ACCESS1.0,0.39969521168398814,3.79
5,MPI-ESM-LR,0.46905744540299427,3.60
5,MPI-ESM-P,0.45790585572917003,3.42
5,MPI-ESM-MR,0.4607182801043867,3.44
5,MRI-CGCM3,0.4126127422445763,2.59
5,CCSM4,0.3819703975983204,2.92
5,NorESM1-M,0.38445579588339557,2.83
