cmip,model,y,x
6,BCC-CSM2-MR,3.02,3.62522595200892
6,CESM2,5.15,3.5913279857859663
6,CESM2-WACCM,4.68,4.134648134906223
6,CNRM-CM6.1,4.9,3.656740634605381
6,CNRM-ESM2.1,4.79,3.6952905361521697
6,CanESM5,5.64,3.6321101791035577
6,EC-Earth3-AerChem,3.87,4.304502861988692
6,GFDL-ESM4,2.65,3.2243599900837046
6,GISS-E2.1-G,2.71,2.7060610830859684
6,GISS-E2.1-H,3.12,2.9576588235327854
6,HadGEM3-GC3.1-LL,5.55,5.205909490616452
6,HadGEM3-GC3.1-MM,5.44,5.192811788867607
6,IPSL-CM6A-LR,4.7,3.9038798627700224
6,IPSL-CM6A-LR-INCA,4.13,3.810155563262752
6,MIROC-ES2L,2.66,3.5431260626066434
6,MIROC6,2.6,3.3424969470600763
6,MPI-ESM1.2-HAM,2.95,3.9335869349967734
6,MPI-ESM1.2-HR,2.98,3.863540464720984
6,MPI-ESM1.2-LR,3.03,3.521192556904638
6,MRI-ESM2.0,3.13,3.6500262832312504
6,NorESM2-LM,2.56,4.31527999139109
6,NorESM2-MM,2.49,2.709359920214757
6,TaiESM1,4.36,4.732900345349802
6,UKESM1.0-LL,5.36,5.217807606753642
