cmip,model,x,y,xsd
6,AWI-ESM1.1-LR,3.77152005205999,3.29,0.75
6,CNRM-CM6.1-HR,2.1667530299051787,4.28,0.75
6,CNRM-CM6.1,2.160969892295092,4.83,0.75
6,CanESM5,2.830636086344753,5.62,0.75
6,EC-Earth3P$^*$,1.918213337109361,4.31,0.75
6,HadGEM3-GC3.1-LL,1.4316118320927784,5.55,0.75
6,HadGEM3-GC3.1-MM,1.4085284757238627,5.42,0.75
6,INM-CM4.8,2.7197275064174433,1.83,0.75
6,INM-CM5.0,2.6782374587840923,1.92,0.75
5,IPSL-CM5A2-INCA,3.382804096157279,3.79,0.75
6,IPSL-CM6A-LR-INCA,2.556031578768896,4.13,0.75
6,IPSL-CM6A-LR,2.6366717569888096,4.56,0.75
6,MPI-ESM1.2-HAM,4.2033675056395845,2.96,0.75
6,MPI-ESM1.2-HR,3.3923811410037894,2.98,0.75
6,MPI-ESM1.2-LR,3.725793703732319,3.0,0.75
6,MRI-ESM2.0,2.419287827180736,3.15,0.75
6,NorESM2-LM,3.7351384763113287,2.54,0.75
6,UKESM1.0-LL,1.387947477897118,5.34,0.75
