cmip,model,x,y
3,CCCMA-CGCM3.1,0.6833132983712237,3.3908876899787264
3,CCCMA-CGCM3.1-T63,0.7254197434644193,3.3937219491700623
3,CSIRO-Mk3.0,0.8116141134199019,3.0902894945682258
3,GFDL-CM2.0,0.9389241885840347,2.884055458116318
3,GFDL-CM2.1,1.1991585315913929,3.3868863828850757
3,GISS-E-H,2.1108043486876,2.691325833105481
3,GISS-E-R,1.799216654997953,2.685824035851712
3,IAP-FGOALS1.0-g,1.2744547628168714,2.2831925095531203
3,INM-CM3.0,2.026591458501209,2.081793385839374
3,IPSL-CM4,1.004478144278147,4.387046435168822
3,MIROC3.2-HIRES,0.7435833080144252,4.270341644937346
3,MIROC3.2-MEDRES,0.17291713451605661,3.985748677901448
3,MIUB-ECHO-G,0.6086775604021084,3.183486605624504
3,MPI-ECHAM5,0.9209257473481196,3.3850524504671524
3,MRI-CGCM2.3.2a,0.23137078770425756,3.1901554507805883
3,NCAR-CCSM3.0,1.4002787281541855,2.6946602556835235
3,NCAR-PCM1,2.5029722196536373,2.076458309714506
3,UKMO-HadCM3,0.5381699052852672,3.2900214069929508
3,UKMO-HadGEM1,0.49276099391025224,4.386046108395409
5,ACCESS1.0,14.14,3.83
5,ACCESS1.3,21.05,3.53
5,BNU-ESM,22.56,3.92
5,CCSM4,24.32,2.94
5,CNRM-CM5,14.54,3.25
5,CNRM-CM5.2,15.83,3.44
5,CSIRO-Mk3.6.0,11.19,4.08
5,CanESM2,20.0,3.69
5,FGOALS-g2,24.61,3.38
5,GFDL-CM3,18.05,3.97
5,GFDL-ESM2G,18.6,2.39
5,GFDL-ESM2M,17.43,2.44
5,GISS-E2-H,21.7,2.31
5,GISS-E2-R,12.88,2.11
5,HadGEM2-ES,11.54,4.61
5,IPSL-CM5A-LR,11.58,4.13
5,IPSL-CM5A-MR,5.73,4.12
5,IPSL-CM5B-LR,21.25,2.6
5,MIROC-ESM,0.94,4.67
5,MIROC5,4.9,2.72
5,MPI-ESM-LR,3.16,3.63
5,MPI-ESM-MR,6.1,3.46
5,MPI-ESM-P,-0.23,3.45
5,MRI-CGCM3,34.02,2.6
5,NorESM1-M,26.23,2.8
5,BCC-CSM1.1,30.84,2.83
5,BCC-CSM1.1(m),43.64,2.86
5,INM-CM4,28.16,2.08
6,ACCESS-CM2,21.63,4.72
6,ACCESS-ESM1.5,15.62,3.87
6,AWI-CM1.1-MR,2.15,3.16
6,BCC-CSM2-MR,32.92,3.04
6,BCC-ESM1,38.93,3.26
6,CAMS-CSM1.0,27.52,2.29
6,CAS-ESM2.0,6.98,3.51
6,CESM2,-7.25,5.16
6,CESM2-FV2,12.09,5.14
6,CESM2-WACCM,-5.37,4.75
6,CESM2-WACCM-FV2,26.98,4.79
6,CMCC-CM2-SR5,23.28,3.52
6,CNRM-CM6.1,16.59,4.83
6,CNRM-CM6.1-HR,13.31,4.28
6,CNRM-ESM2.1,16.17,4.76
6,CanESM5,15.39,5.62
6,E3SM1.0,16.73,5.32
6,EC-Earth3-Veg,,4.31
6,FGOALS-f3-L,11.75,3.0
6,FGOALS-g3,19.06,2.88
6,GISS-E2.1-G,28.46,2.72
6,GISS-E2.1-H,24.55,3.11
6,HadGEM3-GC3.1-LL,9.56,5.55
6,HadGEM3-GC3.1-MM,4.73,5.42
6,INM-CM4.8,12.22,1.83
6,INM-CM5.0,11.22,1.92
6,IPSL-CM6A-LR,11.9,4.56
6,KACE1.0-G,22.16,4.48
6,MCM-UA1.0,14.5,3.65
6,MIROC-ES2L,18.53,2.68
6,MIROC6,5.79,2.61
6,MPI-ESM1.2-HAM,14.47,2.96
6,MPI-ESM1.2-HR,4.33,2.98
6,MPI-ESM1.2-LR,5.92,3.0
6,MRI-ESM2.0,3.33,3.15
6,NESM3,28.78,4.72
6,NorCPM1,30.5,3.05
6,NorESM2-LM,34.4,2.54
6,NorESM2-MM,11.07,2.5
6,SAM0-UNICON,11.99,3.72
6,TaiESM1,11.2,4.31
6,UKESM1.0-LL,2.22,5.34
