cmip,model,x,y
5,ACCESS1.0,0.84,3.83
5,ACCESS1.3,0.9,3.53
5,BNU-ESM,0.75,3.92
5,CCSM4,0.75,2.94
5,CNRM-CM5,0.71,3.25
5,CNRM-CM5.2,0.73,3.44
5,CSIRO-Mk3.6.0,0.97,4.08
5,CanESM2,0.61,3.69
5,FGOALS-g2,0.79,3.38
5,GFDL-CM3,0.67,3.97
5,GFDL-ESM2G,0.76,2.39
5,GFDL-ESM2M,0.68,2.44
5,GISS-E2-H,0.61,2.31
5,GISS-E2-R,0.6,2.11
5,HadGEM2-ES,0.81,4.61
5,IPSL-CM5A-LR,0.86,4.13
5,IPSL-CM5A-MR,0.92,4.12
5,IPSL-CM5B-LR,0.67,2.6
5,MIROC-ESM,0.89,4.67
5,MIROC5,0.78,2.72
5,MPI-ESM-LR,0.86,3.63
5,MPI-ESM-MR,0.87,3.46
5,MPI-ESM-P,0.87,3.45
5,MRI-CGCM3,0.78,2.6
5,NorESM1-M,0.82,2.8
5,BCC-CSM1.1,0.78,2.83
5,BCC-CSM1.1(m),0.74,2.86
5,INM-CM4,0.52,2.08
6,ACCESS-CM2,0.88,4.72
6,ACCESS-ESM1.5,0.79,3.87
6,AWI-CM1.1-MR,0.76,3.16
6,BCC-CSM2-MR,0.89,3.04
6,BCC-ESM1,0.88,3.26
6,CAMS-CSM1.0,0.91,2.29
6,CAS-ESM2.0,0.8,3.51
6,CESM2,0.85,5.16
6,CESM2-FV2,0.79,5.14
6,CESM2-WACCM,0.91,4.75
6,CESM2-WACCM-FV2,,4.79
6,CMCC-CM2-SR5,0.9,3.52
6,CNRM-CM6.1,0.74,4.83
6,CNRM-CM6.1-HR,0.81,4.28
6,CNRM-ESM2.1,0.74,4.76
6,CanESM5,0.82,5.62
6,E3SM1.0,0.8,5.32
6,EC-Earth3-Veg,,4.31
6,FGOALS-f3-L,0.76,3.0
6,FGOALS-g3,0.8,2.88
6,GISS-E2.1-G,0.61,2.72
6,GISS-E2.1-H,0.59,3.11
6,HadGEM3-GC3.1-LL,0.92,5.55
6,HadGEM3-GC3.1-MM,,5.42
6,INM-CM4.8,0.71,1.83
6,INM-CM5.0,0.63,1.92
6,IPSL-CM6A-LR,0.92,4.56
6,KACE1.0-G,0.87,4.48
6,MCM-UA1.0,,3.65
6,MIROC-ES2L,0.79,2.68
6,MIROC6,0.91,2.61
6,MPI-ESM1.2-HAM,0.77,2.96
6,MPI-ESM1.2-HR,0.78,2.98
6,MPI-ESM1.2-LR,0.68,3.0
6,MRI-ESM2.0,0.79,3.15
6,NESM3,0.89,4.72
6,NorCPM1,,3.05
6,NorESM2-LM,0.79,2.54
6,NorESM2-MM,0.86,2.5
6,SAM0-UNICON,0.9,3.72
6,TaiESM1,0.89,4.31
6,UKESM1.0-LL,0.93,5.34
