cmip,model,x,y
5,ACCESS1.0,-1.59,3.83
5,ACCESS1.3,-1.59,3.53
5,BNU-ESM,-1.39,3.92
5,CCSM4,-0.09,2.94
5,CNRM-CM5,0.29,3.25
5,CNRM-CM5.2,0.56,3.44
5,CSIRO-Mk3.6.0,-1.57,4.08
5,CanESM2,-0.72,3.69
5,FGOALS-g2,0.33,3.38
5,GFDL-CM3,-0.26,3.97
5,GFDL-ESM2G,-0.8,2.39
5,GFDL-ESM2M,-0.34,2.44
5,GISS-E2-H,1.18,2.31
5,GISS-E2-R,0.89,2.11
5,HadGEM2-ES,-2.45,4.61
5,IPSL-CM5A-LR,-0.96,4.13
5,IPSL-CM5A-MR,-1.18,4.12
5,IPSL-CM5B-LR,-0.5,2.6
5,MIROC-ESM,-0.99,4.67
5,MIROC5,0.27,2.72
5,MPI-ESM-LR,-0.35,3.63
5,MPI-ESM-MR,-0.49,3.46
5,MPI-ESM-P,-0.68,3.45
5,MRI-CGCM3,-1.08,2.6
5,NorESM1-M,-0.74,2.8
5,BCC-CSM1.1,-0.11,2.83
5,BCC-CSM1.1(m),-0.46,2.86
5,INM-CM4,-0.18,2.08
