cmip,model,x,y
5,ACCESS1.0,0.2,3.83
5,ACCESS1.3,0.15,3.53
5,BNU-ESM,0.14,3.92
5,CCSM4,0.18,2.94
5,CNRM-CM5,0.15,3.25
5,CNRM-CM5.2,,3.44
5,CSIRO-Mk3.6.0,0.2,4.08
5,CanESM2,0.16,3.69
5,FGOALS-g2,0.05,3.38
5,GFDL-CM3,0.32,3.97
5,GFDL-ESM2G,0.19,2.39
5,GFDL-ESM2M,0.15,2.44
5,GISS-E2-H,0.1,2.31
5,GISS-E2-R,0.11,2.11
5,HadGEM2-ES,0.26,4.61
5,IPSL-CM5A-LR,0.21,4.13
5,IPSL-CM5A-MR,0.15,4.12
5,IPSL-CM5B-LR,0.16,2.6
5,MIROC-ESM,0.22,4.67
5,MIROC5,0.22,2.72
5,MPI-ESM-LR,0.15,3.63
5,MPI-ESM-MR,0.16,3.46
5,MPI-ESM-P,,3.45
5,MRI-CGCM3,0.09,2.6
5,NorESM1-M,0.13,2.8
5,BCC-CSM1.1,0.18,2.83
5,BCC-CSM1.1(m),0.13,2.86
5,INM-CM4,0.07,2.08
