cmip,model,x,y
5,ACCESS1.0,0.84,3.83
5,ACCESS1.3,0.9,3.53
5,BNU-ESM,0.75,3.92
5,CCSM4,0.75,2.94
5,CNRM-CM5,0.71,3.25
5,CNRM-CM5.2,0.73,3.44
5,CSIRO-Mk3.6.0,0.97,4.08
5,CanESM2,0.61,3.69
5,FGOALS-g2,0.79,3.38
5,GFDL-CM3,0.67,3.97
5,GFDL-ESM2G,0.76,2.39
5,GFDL-ESM2M,0.68,2.44
5,GISS-E2-H,0.61,2.31
5,GISS-E2-R,0.6,2.11
5,HadGEM2-ES,0.81,4.61
5,IPSL-CM5A-LR,0.86,4.13
5,IPSL-CM5A-MR,0.92,4.12
5,IPSL-CM5B-LR,0.67,2.6
5,MIROC-ESM,0.89,4.67
5,MIROC5,0.78,2.72
5,MPI-ESM-LR,0.86,3.63
5,MPI-ESM-MR,0.87,3.46
5,MPI-ESM-P,0.87,3.45
5,MRI-CGCM3,0.78,2.6
5,NorESM1-M,0.82,2.8
5,BCC-CSM1.1,0.78,2.83
5,BCC-CSM1.1(m),0.74,2.86
5,INM-CM4,0.52,2.08
