cmip,model,x,y
5,ACCESS1.0,0.39,3.83
5,ACCESS1.3,0.36,3.53
5,BNU-ESM,0.41,3.92
5,CCSM4,0.37,2.94
5,CNRM-CM5,0.33,3.25
5,CNRM-CM5.2,0.33,3.44
5,CSIRO-Mk3.6.0,0.36,4.08
5,CanESM2,0.31,3.69
5,FGOALS-g2,0.51,3.38
5,GFDL-CM3,0.34,3.97
5,GFDL-ESM2G,0.45,2.39
5,GFDL-ESM2M,0.43,2.44
5,GISS-E2-H,0.29,2.31
5,GISS-E2-R,0.28,2.11
5,HadGEM2-ES,0.38,4.61
5,IPSL-CM5A-LR,0.45,4.13
5,IPSL-CM5A-MR,0.44,4.12
5,IPSL-CM5B-LR,0.41,2.6
5,MIROC-ESM,0.56,4.67
5,MIROC5,0.42,2.72
5,MPI-ESM-LR,0.45,3.63
5,MPI-ESM-MR,0.45,3.46
5,MPI-ESM-P,0.46,3.45
5,MRI-CGCM3,0.41,2.6
5,NorESM1-M,0.38,2.8
5,BCC-CSM1.1,0.41,2.83
5,BCC-CSM1.1(m),0.4,2.86
5,INM-CM4,0.33,2.08
