cmip,model,x,y
5,ACCESS1.0,0.94,3.83
5,ACCESS1.3,0.93,3.53
5,BNU-ESM,1.11,3.92
5,CCSM4,,2.94
5,CNRM-CM5,1.04,3.25
5,CNRM-CM5.2,,3.44
5,CSIRO-Mk3.6.0,1.0,4.08
5,CanESM2,1.0,3.69
5,FGOALS-g2,1.26,3.38
5,GFDL-CM3,1.01,3.97
5,GFDL-ESM2G,0.93,2.39
5,GFDL-ESM2M,0.94,2.44
5,GISS-E2-H,0.71,2.31
5,GISS-E2-R,0.71,2.11
5,HadGEM2-ES,0.95,4.61
5,IPSL-CM5A-LR,0.95,4.13
5,IPSL-CM5A-MR,0.98,4.12
5,IPSL-CM5B-LR,0.89,2.6
5,MIROC-ESM,0.95,4.67
5,MIROC5,1.01,2.72
5,MPI-ESM-LR,1.07,3.63
5,MPI-ESM-MR,1.04,3.46
5,MPI-ESM-P,,3.45
5,MRI-CGCM3,1.04,2.6
5,NorESM1-M,1.07,2.8
5,BCC-CSM1.1,1.15,2.83
5,BCC-CSM1.1(m),1.19,2.86
5,INM-CM4,0.84,2.08
