cmip,model,x,y
5,ACCESS1.0,14.14,3.83
5,ACCESS1.3,21.05,3.53
5,BNU-ESM,22.56,3.92
5,CCSM4,24.32,2.94
5,CNRM-CM5,14.54,3.25
5,CNRM-CM5.2,15.83,3.44
5,CSIRO-Mk3.6.0,11.19,4.08
5,CanESM2,20.0,3.69
5,FGOALS-g2,24.61,3.38
5,GFDL-CM3,18.05,3.97
5,GFDL-ESM2G,18.6,2.39
5,GFDL-ESM2M,17.43,2.44
5,GISS-E2-H,21.7,2.31
5,GISS-E2-R,12.88,2.11
5,HadGEM2-ES,11.54,4.61
5,IPSL-CM5A-LR,11.58,4.13
5,IPSL-CM5A-MR,5.73,4.12
5,IPSL-CM5B-LR,21.25,2.6
5,MIROC-ESM,0.94,4.67
5,MIROC5,4.9,2.72
5,MPI-ESM-LR,3.16,3.63
5,MPI-ESM-MR,6.1,3.46
5,MPI-ESM-P,-0.23,3.45
5,MRI-CGCM3,34.02,2.6
5,NorESM1-M,26.23,2.8
5,BCC-CSM1.1,30.84,2.83
5,BCC-CSM1.1(m),43.64,2.86
5,INM-CM4,28.16,2.08
