cmip,model,x,y
5,ACCESS1.0,0.54,3.83
5,ACCESS1.3,0.64,3.53
5,BNU-ESM,1.47,3.92
5,CCSM4,1.17,2.94
5,CNRM-CM5,1.5,3.25
5,CNRM-CM5.2,1.44,3.44
5,CSIRO-Mk3.6.0,1.01,4.08
5,CanESM2,0.69,3.69
5,FGOALS-g2,0.93,3.38
5,GFDL-CM3,1.43,3.97
5,GFDL-ESM2G,0.74,2.39
5,GFDL-ESM2M,1.36,2.44
5,GISS-E2-H,2.58,2.31
5,GISS-E2-R,2.13,2.11
5,HadGEM2-ES,0.87,4.61
5,IPSL-CM5A-LR,0.53,4.13
5,IPSL-CM5A-MR,0.36,4.12
5,IPSL-CM5B-LR,0.92,2.6
5,MIROC-ESM,-0.54,4.67
5,MIROC5,0.4,2.72
5,MPI-ESM-LR,0.24,3.63
5,MPI-ESM-MR,0.3,3.46
5,MPI-ESM-P,0.13,3.45
5,MRI-CGCM3,2.04,2.6
5,NorESM1-M,0.65,2.8
5,BCC-CSM1.1,1.34,2.83
5,BCC-CSM1.1(m),2.69,2.86
5,INM-CM4,1.89,2.08
