cmip,model,x,y
6,ACCESS-CM2,-24.48,4.72
6,ACCESS-ESM1.5,-20.15,3.87
6,AWI-CM1.1-MR,-19.44,3.16
6,BCC-CSM2-MR,-3.93,3.04
6,BCC-ESM1,2.69,3.26
6,CAMS-CSM1.0,-13.84,2.29
6,CAS-ESM2.0,-14.42,3.51
6,CESM2,-24.99,5.16
6,CESM2-FV2,-25.68,5.14
6,CESM2-WACCM,-23.81,4.75
6,CESM2-WACCM-FV2,-25.34,4.79
6,CMCC-CM2-SR5,-22.46,3.52
6,CNRM-CM6.1,-9.16,4.83
6,CNRM-CM6.1-HR,-6.63,4.28
6,CNRM-ESM2.1,-8.6,4.76
6,CanESM5,-20.02,5.62
6,E3SM1.0,-25.38,5.32
6,EC-Earth3-Veg,,4.31
6,FGOALS-f3-L,-0.19,3.0
6,FGOALS-g3,-15.13,2.88
6,GISS-E2.1-G,-7.75,2.72
6,GISS-E2.1-H,-6.82,3.11
6,HadGEM3-GC3.1-LL,-24.87,5.55
6,HadGEM3-GC3.1-MM,-22.48,5.42
6,INM-CM4.8,-16.71,1.83
6,INM-CM5.0,-14.38,1.92
6,IPSL-CM6A-LR,-34.9,4.56
6,KACE1.0-G,-24.51,4.48
6,MCM-UA1.0,,3.65
6,MIROC-ES2L,-13.03,2.68
6,MIROC6,-13.43,2.61
6,MPI-ESM1.2-HAM,-23.06,2.96
6,MPI-ESM1.2-HR,-20.21,2.98
6,MPI-ESM1.2-LR,-19.4,3.0
6,MRI-ESM2.0,-22.83,3.15
6,NESM3,-18.81,4.72
6,NorCPM1,-8.09,3.05
6,NorESM2-LM,-16.22,2.54
6,NorESM2-MM,-25.33,2.5
6,SAM0-UNICON,-25.25,3.72
6,TaiESM1,-16.53,4.31
6,UKESM1.0-LL,-26.83,5.34
